text,alias,ipa,category,telnyx_naturalhd_verdict
atorvastatin,a-TOR-va-STAT-in,əˌtɔr.vəˈstæ.tɪn,drug,HELPS
Lipitor,LIP-i-tor,lɪˈpɪ.tɔr,drug,HURTS
lisinopril,ly-SIN-oh-pril,laɪˈsɪnoʊprɪl,drug,HELPS
metoprolol,me-TOE-pro-lol,məˈtoʊ.prə.lɔl,drug,HURTS
amlodipine,am-LOE-di-peen,æmˈloʊ.dɪˌpin,drug,WASH
losartan,loe-SAR-tan,loʊˈsɑr.tæn,drug,WASH
metoprolol succinate,me-TOE-pro-lol SUK-si-nate,məˈtoʊ.prə.lɔl ˈsʌk.sɪˌneɪt,drug,HURTS
metoprolol tartrate,me-TOE-pro-lol TAR-trate,məˈtoʊ.prə.lɔl ˈtɑr.treɪt,drug,WASH
carvedilol,kar-VE-di-lol,kɑrˈvɛ.dɪ.lɔl,drug,WASH
valsartan,val-SAR-tan,vælˈsɑr.tæn,drug,WASH
enalapril,e-NAL-a-pril,ɪˈnæ.lə.prɪl,drug,WASH
ramipril,ra-MI-pril,ræˈmɪ.prɪl,drug,WASH
felodipine,fe-LOE-di-peen,fɪˈloʊ.dɪˌpin,drug,HURTS
nimodipine,ny-MOE-di-peen,naɪˈmoʊ.dɪˌpin,drug,HELPS
nicardipine,ny-KAR-di-peen,naɪˈkɑr.dɪˌpin,drug,HELPS
nitroglycerin,ny-tro-GLIS-er-in,ˌnaɪ.trəˈɡlɪ.sə.rɪn,drug,HURTS
hydralazine,hy-DRAL-a-zeen,haɪˈdræ.ləˌzin,drug,HELPS
clonidine,KLON-i-deen,ˈkloʊ.nɪˌdin,drug,HURTS
spironolactone,spir-oh-no-LAK-tone,ˌspaɪ.rə.noʊˈlæk.toʊn,drug,HELPS
furosemide,fur-OH-se-mide,fʊˈroʊsəmaɪd,drug,WASH
hydrochlorothiazide,hy-dro-KLOR-oh-THY-a-zide,ˌhaɪ.droʊˌklɔr.oʊˈθaɪ.əˌzaɪd,drug,WASH
triamterene,try-AM-ter-een,traɪˈæm.tərˌin,drug,HELPS
bumetanide,byoo-MET-a-nide,bjuˈmɛ.təˌnaɪd,drug,WASH
torsemide,TOR-se-mide,ˈtɔr.səˌmaɪd,drug,WASH
eplerenone,e-PLER-e-none,ɪˈplɛ.rɪˌnoʊn,drug,HELPS
diltiazem,dil-TY-a-zem,dɪlˈtaɪ.ə.zəm,drug,HURTS
verapamil,ver-AP-a-mil,vəˈræ.pə.mɪl,drug,WASH
nifedipine,ny-FED-i-peen,naɪˈfɛ.dɪˌpin,drug,HURTS
doxazosin,dok-SAZ-oh-sin,dɑkˈsæ.zə.sɪn,drug,WASH
terazosin,ter-AZ-oh-sin,təˈræ.zə.sɪn,drug,WASH
prazosin,PRAZ-oh-sin,ˈpræzəsɪn,drug,WASH
amiodarone,am-ee-OH-da-rone,əˈmiːoʊdəroʊn,drug,HELPS
dronedarone,droe-NEH-da-rone,droʊˈnɛdəroʊn,drug,HURTS
sotalol,SOH-ta-lol,ˈsoʊtəlɔːl,drug,WASH
propafenone,pro-PAF-eh-none,proʊˈpæfənoʊn,drug,WASH
flecainide,FLEH-ka-nide,ˈflɛkənaɪd,drug,HELPS
mexiletine,mex-IL-eh-teen,mɛkˈsɪlətiːn,drug,HURTS
isosorbide dinitrate,eye-so-SOR-bide dye-NYE-trate,aɪsoʊˈsɔːrbaɪd daɪˈnaɪtreɪt,drug,HURTS
isosorbide mononitrate,eye-so-SOR-bide mon-oh-NYE-trate,aɪsoʊˈsɔːrbaɪd ˌmɒnoʊˈnaɪtreɪt,drug,WASH
warfarin,war-FAR-in,ˈwɔːrfərɪn,drug,HURTS
rivaroxaban,riv-a-ROX-a-ban,ˌrɪvəˈrɒksəbæn,drug,HURTS
apixaban,a-PIX-a-ban,əˈpɪksəbæn,drug,HELPS
dabigatran,da-big-a-TRAN,dəˈbɪɡətræn,drug,HURTS
clopidogrel,kloh-PID-oh-grel,kloʊˈpɪdəɡrɛl,drug,HELPS
prasugrel,PRA-soo-grel,ˈpræsʊɡrɛl,drug,WASH
ticagrelor,tye-ka-GREL-or,taɪˈkæɡrəlɔːr,drug,HELPS
ezetimibe,eh-ZET-i-mibe,ɪˈzɛtəmaɪb,drug,WASH
fenofibrate,fen-oh-FYE-brate,ˌfɛnoʊˈfaɪbreɪt,drug,HELPS
gemfibrozil,jem-FYE-broh-zil,dʒɛmˈfaɪbrəzɪl,drug,WASH
niacin,NYE-a-sin,ˈnaɪəsɪn,drug,HURTS
colesevelam,koh-leh-SEV-eh-lam,koʊləˈsɛvəlæm,drug,WASH
simvastatin,sim-va-STAT-in,ˌsɪmvəˈstætɪn,drug,HELPS
rosuvastatin,roh-soo-va-STAT-in,ˌroʊsuˈvæstətɪn,drug,WASH
pravastatin,PRAV-va-STAT-in,ˈprævəstætɪn,drug,HELPS
fluvastatin,FLOO-va-STAT-in,fluːˈvæstətɪn,drug,HURTS
pitavastatin,pit-a-va-STAT-in,ˌpɪtəˈvæstətɪn,drug,WASH
alirocumab,a-LIR-oh-kyoo-mab,əˌlɪroʊˈkuːmæb,drug,HELPS
evolocumab,e-VOL-oh-kyoo-mab,ɪˈvoʊloʊkuːmæb,drug,HURTS
metformin,met-FOR-min,mɛtˈfɔːrmɪn,drug,WASH
glipizide,GLIP-i-zide,ˈɡlɪpəzaɪd,drug,WASH
glyburide,GLY-bur-ide,ˈɡlaɪbjʊˌraɪd,drug,HURTS
pioglitazone,py-oh-GLIT-ah-zone,ˌpaɪoʊɡlɪˈtæzoʊn,drug,WASH
sitagliptin,sit-ah-GLIP-tin,ˌsɪtəˈɡlɪptɪn,drug,HELPS
linagliptin,lin-ah-GLIP-tin,ˌlɪnəˈɡlɪptɪn,drug,HELPS
saxagliptin,sax-ah-GLIP-tin,ˌsæksəˈɡlɪptɪn,drug,WASH
alogliptin,al-oh-GLIP-tin,ˌæloʊˈɡlɪptɪn,drug,WASH
empagliflozin,em-pah-gli-FLOH-zin,ˌɛmpəɡlɪˈfloʊzɪn,drug,HELPS
canagliflozin,kan-ah-gli-FLOH-zin,ˌkænəɡlɪˈfloʊzɪn,drug,HELPS
dapagliflozin,dap-ah-gli-FLOH-zin,ˌdæpəɡlɪˈfloʊzɪn,drug,HURTS
semaglutide,sem-ah-GLOO-tide,ˌsɛməˈɡluːtaɪd,drug,HELPS
liraglutide,lir-ah-GLOO-tide,ˌlɪrəˈɡluːtaɪd,drug,HELPS
exenatide,ex-EN-ah-tide,ɛɡˈzɛnətaɪd,drug,WASH
dulaglutide,doo-lah-GLOO-tide,ˌduːləˈɡluːtaɪd,drug,WASH
tirzepatide,teer-ZEP-ah-tide,tɪrˈzɛpətaɪd,drug,HURTS
insulin glargine,IN-suh-lin GLAR-jeen,ˈɪnsəlɪn ˈɡlɑːrdʒiːn,drug,HURTS
insulin lispro,IN-suh-lin LIS-proh,ˈɪnsəlɪn ˈlɪsproʊ,drug,HURTS
insulin aspart,IN-suh-lin AS-part,ˈɪnsəlɪn ˈæspɑːrt,drug,HELPS
insulin detemir,IN-suh-lin DET-uh-meer,ˈɪnsəlɪn dəˈtiːmɪr,drug,HELPS
insulin degludec,IN-suh-lin deh-GLOO-dek,ˈɪnsəlɪn dɛˈɡluːdɛk,drug,WASH
acarbose,AY-kar-bose,ˈækɑːrboʊs,drug,WASH
miglitol,MIG-li-tol,ˈmɪɡlɪtɔːl,drug,HELPS
repaglinide,reh-PAG-li-nide,ˌrɛpəˈɡlaɪnaɪd,drug,WASH
nateglinide,nah-TEG-li-nide,nəˈtɛɡlɪnaɪd,drug,HELPS
